file,folder,trained,date,size_mb,what_varied,documented_result,duplicate_of_models_copy,gold_acc,gold_macro_f1,gold_feed_recall,gold_nonfeed_recall,gold_feed_precision,gold_label_flip,gold_cm,bimby2024_acc,bimby2024_macro_f1,bimby2024_feed_recall,bimby2024_nonfeed_recall,bimby2024_feed_precision,bimby2024_label_flip,bimby2024_cm,error,note
Real_Feeding_unfrozen_xval.keras,Final_Feeding_Images,2025 May,2025-05-02,227.4,"real only, unfrozen conv5, 5-fold xval",,True,0.8679,0.8676,0.842,0.8924,0.881,False,"[[1806, 339], [244, 2024]]",0.85,0.844,0.8241,0.895,0.9317,False,"[[3219, 687], [236, 2011]]",,reused (duplicate file)
ResNet50_data_redo1.keras,Final_Feeding_Images,2024 Sep,2024-09-08,95.0,baseline re-run on the cleaned/redo dataset,,False,0.8885,0.8885,0.8937,0.8836,0.879,False,"[[1917, 228], [264, 2004]]",0.8544,0.8479,0.8354,0.8874,0.928,False,"[[3263, 643], [253, 1994]]",,
ResNet50_data_redo_squeeze1.keras,Final_Feeding_Images,2024 Sep,2024-09-09,107.6,"dense-head architecture iteration (""squeeze"" v1)",,False,0.8926,0.8926,0.9142,0.8721,0.8712,False,"[[1961, 184], [290, 1978]]",0.8594,0.8523,0.8497,0.8763,0.9227,False,"[[3319, 587], [278, 1969]]",,
ResNet50_data_redo_squeeze2.keras,Final_Feeding_Images,2024 Sep,2024-09-17,107.6,"dense-head architecture iteration (""squeeze"" v2)",,False,0.8765,0.8765,0.8825,0.8708,0.866,False,"[[1893, 252], [293, 1975]]",0.843,0.8362,0.8249,0.8745,0.9195,False,"[[3222, 684], [282, 1965]]",,
ResNet50_data_redo_squeeze3.keras,Final_Feeding_Images,2024 Sep,2024-09-18,107.6,"dense-head architecture iteration (""squeeze"" v3)",,False,0.8917,0.8916,0.8918,0.8915,0.8861,False,"[[1913, 232], [246, 2022]]",0.8432,0.8373,0.8131,0.8954,0.9311,False,"[[3176, 730], [235, 2012]]",,
ResNet50_data_redo_squeeze4.keras,Final_Feeding_Images,2024 Sep,2024-09-19,104.4,"dense-head architecture iteration (""squeeze"" v4)",,False,0.8862,0.8861,0.8765,0.8955,0.888,False,"[[1880, 265], [237, 2031]]",0.8417,0.8361,0.8085,0.8994,0.9332,False,"[[3158, 748], [226, 2021]]",,
ResNet50_data_redo_squeeze5.keras,Final_Feeding_Images,2024 Sep,2024-09-19,104.4,"dense-head architecture iteration (""squeeze"" v5)",,False,0.8717,0.8717,0.8788,0.8651,0.8603,False,"[[1885, 260], [306, 1962]]",0.844,0.8368,0.8295,0.8692,0.9168,False,"[[3240, 666], [294, 1953]]",,
ResNet50_data_redo_squeeze6.keras,Final_Feeding_Images,2024 Sep,2024-09-19,104.4,"dense-head architecture iteration (""squeeze"" v6)",,False,0.8924,0.8923,0.8993,0.8858,0.8816,False,"[[1929, 216], [259, 2009]]",0.856,0.8496,0.8369,0.8892,0.9292,False,"[[3269, 637], [249, 1998]]",,
ResNet50_data_redo_squeeze7.keras,Final_Feeding_Images,2024 Sep,2024-09-19,104.4,"dense-head architecture iteration (""squeeze"" v7)",,False,0.8729,0.8728,0.9301,0.8188,0.8292,False,"[[1995, 150], [411, 1857]]",0.8645,0.8544,0.8879,0.8238,0.8975,False,"[[3468, 438], [396, 1851]]",,
ResNet50_data_squeeze_l2.keras,Final_Feeding_Images,2024 Sep,2024-09-19,104.4,squeeze head + L2 weight regularization,,False,0.8756,0.8755,0.8685,0.8823,0.8746,False,"[[1863, 282], [267, 2001]]",0.8446,0.8383,0.8213,0.8852,0.9256,False,"[[3208, 698], [258, 1989]]",,
ResNet50_data_squeeze_l2_2.keras,Final_Feeding_Images,2024 Sep,2024-09-20,104.5,squeeze head + L2 weight regularization,,False,0.8697,0.8697,0.8951,0.8457,0.8458,False,"[[1920, 225], [350, 1918]]",0.8518,0.8434,0.8528,0.85,0.9081,False,"[[3331, 575], [337, 1910]]",,
ResNet50_data_squeeze_l2_3.keras,Final_Feeding_Images,2024 Sep,2024-09-20,104.5,squeeze head + L2 weight regularization,,False,0.889,0.8889,0.8844,0.8933,0.8869,False,"[[1897, 248], [242, 2026]]",0.849,0.8432,0.8208,0.8981,0.9333,False,"[[3206, 700], [229, 2018]]",,
ResNet50_detect100.keras,Final_Feeding_Images,2024 Oct,2024-10-06,95.0,trained on detectron-cropped butterflies (tier 50100),⚠ cropped-input model,False,0.8906,0.8905,0.8932,0.888,0.8829,False,"[[1916, 229], [254, 2014]]",0.8524,0.8462,0.8295,0.8923,0.9305,False,"[[3240, 666], [242, 2005]]",,
ResNet50_detect250.keras,Final_Feeding_Images,2024 Oct,2024-10-07,95.0,trained on detectron-cropped butterflies (tier 50250),⚠ cropped-input model,False,0.8804,0.8803,0.8821,0.8787,0.8731,False,"[[1892, 253], [275, 1993]]",0.851,0.8443,0.8328,0.8825,0.9249,False,"[[3253, 653], [264, 1983]]",,
ResNet50_detect500.keras,Final_Feeding_Images,2024 Oct,2024-10-06,95.0,trained on detectron-cropped butterflies (tier 50500),⚠ cropped-input model,False,0.8867,0.8865,0.8741,0.8986,0.8907,False,"[[1875, 270], [230, 2038]]",0.8466,0.841,0.8144,0.9025,0.9356,False,"[[3181, 725], [219, 2028]]",,
ResNet50_detect500_test.keras,Final_Feeding_Images,2024 Oct,2024-10-07,101.3,"detectron-cropped, 500 tier (test variant)",⚠ cropped-input model,False,0.8783,0.8781,0.8573,0.8981,0.8884,False,"[[1839, 306], [231, 2037]]",0.837,0.8316,0.7995,0.9021,0.9342,False,"[[3123, 783], [220, 2027]]",,
ResNet50_detectall.keras,Final_Feeding_Images,2024 Oct,2024-10-06,95.0,trained on ALL detectron-cropped butterflies,⚠ cropped-input model,False,0.8794,0.8791,0.8536,0.9039,0.8936,False,"[[1831, 314], [218, 2050]]",0.8411,0.8358,0.8029,0.9074,0.9378,False,"[[3136, 770], [208, 2039]]",,
ResNet50_detectall_kfold.keras,Final_Feeding_Images,2024 Oct,2024-10-08,95.0,"detectron-cropped, cross-validated",⚠ cropped-input model,False,0.862,0.8617,0.8368,0.8858,0.8739,False,"[[1795, 350], [259, 2009]]",0.8412,0.8352,0.8136,0.8892,0.9273,False,"[[3178, 728], [249, 1998]]",,
ResNet50_detectall_kfold2.keras,Final_Feeding_Images,2024 Oct,2024-10-10,95.0,"detectron-cropped, cross-validated",⚠ cropped-input model,False,0.862,0.8617,0.8368,0.8858,0.8739,False,"[[1795, 350], [259, 2009]]",0.8412,0.8352,0.8136,0.8892,0.9273,False,"[[3178, 728], [249, 1998]]",,
ResNet50_detectnone.keras,Final_Feeding_Images,2024 Oct,2024-10-06,95.0,trained on UNcropped images (detectron off),,False,0.8613,0.8609,0.945,0.7822,0.804,False,"[[2027, 118], [494, 1774]]",0.8729,0.8605,0.9224,0.7868,0.8827,False,"[[3603, 303], [479, 1768]]",,
